pet_slug,species,style,minimum_species,maximum_species,possible_final_count,path_min_to_max,species_default_bst_min_to_max,proposed_context_bands_percent,missing_base_species_assets,mapping_scope
bulbasaur,bulbasaur,2d,bulbasaur,venusaur,1,bulbasaur > ivysaur > venusaur,318 > 405 > 525,"venusaur [0.00,37.86); ivysaur [37.86,67.07); bulbasaur [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
ivysaur,ivysaur,2d,bulbasaur,venusaur,1,bulbasaur > ivysaur > venusaur,318 > 405 > 525,"venusaur [0.00,37.86); ivysaur [37.86,67.07); bulbasaur [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
venusaur,venusaur,2d,bulbasaur,venusaur,1,bulbasaur > ivysaur > venusaur,318 > 405 > 525,"venusaur [0.00,37.86); ivysaur [37.86,67.07); bulbasaur [67.07,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
charmander,charmander,2d,charmander,charizard,1,charmander > charmeleon > charizard,309 > 405 > 534,"charizard [0.00,38.51); charmeleon [38.51,67.72); charmander [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
charmeleon,charmeleon,2d,charmander,charizard,1,charmander > charmeleon > charizard,309 > 405 > 534,"charizard [0.00,38.51); charmeleon [38.51,67.72); charmander [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
charizard,charizard,2d,charmander,charizard,1,charmander > charmeleon > charizard,309 > 405 > 534,"charizard [0.00,38.51); charmeleon [38.51,67.72); charmander [67.72,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
squirtle,squirtle,2d,squirtle,blastoise,1,squirtle > wartortle > blastoise,314 > 405 > 530,"blastoise [0.00,38.19); wartortle [38.19,67.37); squirtle [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
wartortle,wartortle,2d,squirtle,blastoise,1,squirtle > wartortle > blastoise,314 > 405 > 530,"blastoise [0.00,38.19); wartortle [38.19,67.37); squirtle [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
blastoise,blastoise,2d,squirtle,blastoise,1,squirtle > wartortle > blastoise,314 > 405 > 530,"blastoise [0.00,38.19); wartortle [38.19,67.37); squirtle [67.37,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
caterpie,caterpie,2d,caterpie,butterfree,1,caterpie > metapod > butterfree,195 > 205 > 395,"butterfree [0.00,44.72); metapod [44.72,67.92); caterpie [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
metapod,metapod,2d,caterpie,butterfree,1,caterpie > metapod > butterfree,195 > 205 > 395,"butterfree [0.00,44.72); metapod [44.72,67.92); caterpie [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
butterfree,butterfree,2d,caterpie,butterfree,1,caterpie > metapod > butterfree,195 > 205 > 395,"butterfree [0.00,44.72); metapod [44.72,67.92); caterpie [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
weedle,weedle,2d,weedle,beedrill,1,weedle > kakuna > beedrill,195 > 205 > 395,"beedrill [0.00,44.72); kakuna [44.72,67.92); weedle [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kakuna,kakuna,2d,weedle,beedrill,1,weedle > kakuna > beedrill,195 > 205 > 395,"beedrill [0.00,44.72); kakuna [44.72,67.92); weedle [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
beedrill,beedrill,2d,weedle,beedrill,1,weedle > kakuna > beedrill,195 > 205 > 395,"beedrill [0.00,44.72); kakuna [44.72,67.92); weedle [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pidgey,pidgey,2d,pidgey,pidgeot,1,pidgey > pidgeotto > pidgeot,251 > 349 > 479,"pidgeot [0.00,39.95); pidgeotto [39.95,69.06); pidgey [69.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pidgeotto,pidgeotto,2d,pidgey,pidgeot,1,pidgey > pidgeotto > pidgeot,251 > 349 > 479,"pidgeot [0.00,39.95); pidgeotto [39.95,69.06); pidgey [69.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pidgeot,pidgeot,2d,pidgey,pidgeot,1,pidgey > pidgeotto > pidgeot,251 > 349 > 479,"pidgeot [0.00,39.95); pidgeotto [39.95,69.06); pidgey [69.06,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rattata,rattata,2d,rattata,raticate,1,rattata > raticate,253 > 413,"raticate [0.00,55.81); rattata [55.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
raticate,raticate,2d,rattata,raticate,1,rattata > raticate,253 > 413,"raticate [0.00,55.81); rattata [55.81,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
spearow,spearow,2d,spearow,fearow,1,spearow > fearow,262 > 442,"fearow [0.00,56.51); spearow [56.51,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
fearow,fearow,2d,spearow,fearow,1,spearow > fearow,262 > 442,"fearow [0.00,56.51); spearow [56.51,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
ekans,ekans,2d,ekans,arbok,1,ekans > arbok,288 > 448,"arbok [0.00,54.78); ekans [54.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
arbok,arbok,2d,ekans,arbok,1,ekans > arbok,288 > 448,"arbok [0.00,54.78); ekans [54.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
pikachu,pikachu,2d,pichu,raichu,1,pichu > pikachu > raichu,205 > 320 > 485,"raichu [0.00,43.22); pikachu [43.22,71.73); pichu [71.73,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
raichu,raichu,2d,pichu,raichu,1,pichu > pikachu > raichu,205 > 320 > 485,"raichu [0.00,43.22); pikachu [43.22,71.73); pichu [71.73,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
sandshrew,sandshrew,2d,sandshrew,sandslash,1,sandshrew > sandslash,300 > 450,"sandslash [0.00,54.00); sandshrew [54.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
sandslash,sandslash,2d,sandshrew,sandslash,1,sandshrew > sandslash,300 > 450,"sandslash [0.00,54.00); sandshrew [54.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidoran-f,nidoran-f,2d,nidoran-f,nidoqueen,1,nidoran-f > nidorina > nidoqueen,275 > 365 > 505,"nidoqueen [0.00,39.69); nidorina [39.69,68.38); nidoran-f [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidorina,nidorina,2d,nidoran-f,nidoqueen,1,nidoran-f > nidorina > nidoqueen,275 > 365 > 505,"nidoqueen [0.00,39.69); nidorina [39.69,68.38); nidoran-f [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidoqueen,nidoqueen,2d,nidoran-f,nidoqueen,1,nidoran-f > nidorina > nidoqueen,275 > 365 > 505,"nidoqueen [0.00,39.69); nidorina [39.69,68.38); nidoran-f [68.38,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidoran-m,nidoran-m,2d,nidoran-m,nidoking,1,nidoran-m > nidorino > nidoking,273 > 365 > 505,"nidoking [0.00,39.76); nidorino [39.76,68.50); nidoran-m [68.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidorino,nidorino,2d,nidoran-m,nidoking,1,nidoran-m > nidorino > nidoking,273 > 365 > 505,"nidoking [0.00,39.76); nidorino [39.76,68.50); nidoran-m [68.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
nidoking,nidoking,2d,nidoran-m,nidoking,1,nidoran-m > nidorino > nidoking,273 > 365 > 505,"nidoking [0.00,39.76); nidorino [39.76,68.50); nidoran-m [68.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
clefairy,clefairy,2d,cleffa,clefable,1,cleffa > clefairy > clefable,218 > 323 > 483,"clefable [0.00,42.45); clefairy [42.45,70.84); cleffa [70.84,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
clefable,clefable,2d,cleffa,clefable,1,cleffa > clefairy > clefable,218 > 323 > 483,"clefable [0.00,42.45); clefairy [42.45,70.84); cleffa [70.84,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
vulpix,vulpix,2d,vulpix,ninetales,1,vulpix > ninetales,299 > 505,"ninetales [0.00,56.53); vulpix [56.53,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
ninetales,ninetales,2d,vulpix,ninetales,1,vulpix > ninetales,299 > 505,"ninetales [0.00,56.53); vulpix [56.53,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
jigglypuff,jigglypuff,2d,igglybuff,wigglytuff,1,igglybuff > jigglypuff > wigglytuff,210 > 270 > 435,"wigglytuff [0.00,42.79); jigglypuff [42.79,69.34); igglybuff [69.34,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
wigglytuff,wigglytuff,2d,igglybuff,wigglytuff,1,igglybuff > jigglypuff > wigglytuff,210 > 270 > 435,"wigglytuff [0.00,42.79); jigglypuff [42.79,69.34); igglybuff [69.34,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
zubat,zubat,2d,zubat,crobat,1,zubat > golbat > crobat,245 > 455 > 535,"crobat [0.00,38.99); golbat [38.99,72.15); zubat [72.15,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
golbat,golbat,2d,zubat,crobat,1,zubat > golbat > crobat,245 > 455 > 535,"crobat [0.00,38.99); golbat [38.99,72.15); zubat [72.15,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
oddish,oddish,2d,oddish,vileplume,2,oddish > gloom > vileplume,320 > 395 > 490,"vileplume [0.00,36.60); gloom [36.60,66.10); oddish [66.10,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
oddish,oddish,2d,oddish,bellossom,2,oddish > gloom > bellossom,320 > 395 > 490,"bellossom [0.00,36.60); gloom [36.60,66.10); oddish [66.10,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gloom,gloom,2d,oddish,vileplume,2,oddish > gloom > vileplume,320 > 395 > 490,"vileplume [0.00,36.60); gloom [36.60,66.10); oddish [66.10,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gloom,gloom,2d,oddish,bellossom,2,oddish > gloom > bellossom,320 > 395 > 490,"bellossom [0.00,36.60); gloom [36.60,66.10); oddish [66.10,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
vileplume,vileplume,2d,oddish,vileplume,1,oddish > gloom > vileplume,320 > 395 > 490,"vileplume [0.00,36.60); gloom [36.60,66.10); oddish [66.10,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
paras,paras,2d,paras,parasect,1,paras > parasect,285 > 405,"parasect [0.00,52.83); paras [52.83,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
parasect,parasect,2d,paras,parasect,1,paras > parasect,285 > 405,"parasect [0.00,52.83); paras [52.83,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
venonat,venonat,2d,venonat,venomoth,1,venonat > venomoth,305 > 450,"venomoth [0.00,53.64); venonat [53.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
venomoth,venomoth,2d,venonat,venomoth,1,venonat > venomoth,305 > 450,"venomoth [0.00,53.64); venonat [53.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
diglett,diglett,2d,diglett,dugtrio,1,diglett > dugtrio,265 > 425,"dugtrio [0.00,55.43); diglett [55.43,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dugtrio,dugtrio,2d,diglett,dugtrio,1,diglett > dugtrio,265 > 425,"dugtrio [0.00,55.43); diglett [55.43,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
meowth,meowth,2d,meowth,persian,2,meowth > persian,290 > 440,"persian [0.00,54.25); meowth [54.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
meowth,meowth,2d,meowth,perrserker,2,meowth > perrserker,290 > 440,"perrserker [0.00,54.25); meowth [54.25,90.00); pokeball [90,100]",perrserker,species-only; form-conditional routes not resolved
persian,persian,2d,meowth,persian,1,meowth > persian,290 > 440,"persian [0.00,54.25); meowth [54.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
psyduck,psyduck,2d,psyduck,golduck,1,psyduck > golduck,320 > 500,"golduck [0.00,54.88); psyduck [54.88,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
golduck,golduck,2d,psyduck,golduck,1,psyduck > golduck,320 > 500,"golduck [0.00,54.88); psyduck [54.88,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mankey,mankey,2d,mankey,annihilape,1,mankey > primeape > annihilape,305 > 455 > 535,"annihilape [0.00,37.18); primeape [37.18,68.80); mankey [68.80,90.00); pokeball [90,100]",annihilape,species-only; form-conditional routes not resolved
